client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37334932.mp3	19c909c6433baf45414bdfa465e9404845b8e0f30180665aeae16111846334d6	پښتني هنرونو کې ګنډل، اوبدل او لوښي شامل دي.		0	4	fourties	male_masculine	Northern		ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37334933.mp3	09d8d5cd0cbf85b642eb23e403218ed5ba915fd152d4867a336544d6e1ce5b89	ها بل ويل پر در مو ندي حلال سوى.		0	4	fourties	male_masculine	Northern		ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37335211.mp3	02baca6b77742c22093699af46c1d66892ae526526e3bd117b7fa88b6cda70e7	پښتانه په زرونو کلن تاریخ او کلتور لري.		2	4	fourties	male_masculine	Northern		ps	
9340189f26101a104ca89b5dc2cf436c7cf00cdd819c27101b328585caba435f44810d117f6dad4604e6f22cd266e2973e3b279b6af79441cda0e521f6e96031	common_voice_ps_37487248.mp3	2956063b017d672c3452b82c235e8b5bd2f5621280f351f6215286c8b4279b49	مرگ نه په واړه دى نه په زاړه.		1	2					ps	
9340189f26101a104ca89b5dc2cf436c7cf00cdd819c27101b328585caba435f44810d117f6dad4604e6f22cd266e2973e3b279b6af79441cda0e521f6e96031	common_voice_ps_37487251.mp3	01d304e0166277be05bc0ad07b139e1efc9f40515ae2ef96e044cba4e6f1affa	هره کوچنۍ مرسته کوي.		1	2					ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37895070.mp3	36e86660111e3e83396678dc7c3d79bab3fd1edde2e12f474ac2d15e71883309	دا په پنځلس دقیقو کې روان دی.		0	4	fourties	male_masculine	Northern		ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37895751.mp3	09b6029e99f1bbda12db9354a871d7157508ce6e6008ef04491d77310b74809c	د زده کړې لپاره هیڅکله ناوخته نه دی.		0	4	fourties	male_masculine	Northern		ps	
dc85a2c45e125fc3860840800467656a4a971ff9d442aa45407f51f59ddc2a62c0cf8c12d5619923fe31684a5c0b839014523e80a244900ee3fa3312e9957271	common_voice_ps_37987211.mp3	b96c406c112c3bb8d9d3184864e437ec2568f10b0c5f0b979a29e4be5f6bf492	دپلار گټلې زوى ته اسانه ده.		0	4	fourties	male_masculine	Northern		ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38140873.mp3	9c5ba6e2347e6a0a244c091edf975505cb51fdf7df365c3791f0ff7611827a2e	تر يوې خرما ، دوې وڅکي ښه دي		2	4	twenties	male_masculine	Marwatwāla 		ps	
c42ab63a38d20ac0bfd2ec07407a9bacdda21369b4c4eb6e7d2d5e3b42825dbb1cf5a377d1005bed0b67061da18f997006fc05c3f064f5d2fc3d1fecdcbbc984	common_voice_ps_38140915.mp3	ad6706b5a5b693204a78287cf4fb1def4150dc78698efcba728f0ef01bce1987	خاطر افریدي د پښتنو یو مشهور شاعر و.		2	4	twenties	male_masculine	Marwatwāla 		ps	
